Index | Bit-true Hex Real | Bit-true Hex Imag | Int Real | Int Imag
  86  | 0009             | 0040             |      9   |     64
  87  | 0011             | 004B             |     17   |     75
  88  | 0047             | 0043             |     71   |     67
  89  | FEDD             | 012B             |   -291   |    299
  90  | FF9F             | FF39             |    -97   |   -199
  91  | 0043             | FF80             |     67   |   -128
  92  | 0068             | 0083             |    104   |    131
  93  | 008E             | 0095             |    142   |    149
  94  | FF90             | 0103             |   -112   |    259
  95  | FF22             | 0056             |   -222   |     86
  96  | 0005             | FFE6             |      5   |    -26
  97  | FFE2             | 00A3             |    -30   |    163
  98  | FF93             | 001B             |   -109   |     27
  99  | FF0D             | 00FE             |   -243   |    254
 100  | FFCA             | FEA2             |    -54   |   -350
 101  | 0047             | 0096             |     71   |    150
 102  | FF93             | 002A             |   -109   |     42
 103  | 001B             | 0038             |     27   |     56
 104  | FFAC             | FFC0             |    -84   |    -64
 105  | 0025             | 002B             |     37   |     43
 106  | 0081             | 007D             |    129   |    125
 107  | FFE4             | 0079             |    -28   |    121
 108  | FFC7             | 0085             |    -57   |    133
 109  | FFF0             | 0088             |    -16   |    136
 110  | 01B6             | 0118             |    438   |    280
 111  | FC2D             | 03D1             |   -979   |    977
 112  | FE2B             | FD59             |   -469   |   -679
 113  | FEFC             | FF95             |   -260   |   -107
 114  | 0090             | FEEA             |    144   |   -278
 115  | FF34             | FF9A             |   -204   |   -102
 116  | 0198             | FF7C             |    408   |   -132
 117  | FFA6             | 0180             |    -90   |    384
 118  | FF7F             | FFD1             |   -129   |    -47
 119  | FF9C             | 0067             |   -100   |    103
 120  | FFB3             | 0025             |    -77   |     37
 121  | FF76             | 000F             |   -138   |     15
 122  | FF71             | 0018             |   -143   |     24
 123  | FFE5             | FFE3             |    -27   |    -29
 124  | FEE5             | 007B             |   -283   |    123
 125  | FF6B             | FEA0             |   -149   |   -352
 126  | 00A2             | FFA6             |    162   |    -90
 127  | 0023             | 00BC             |     35   |    188
 128  | FF30             | FF92             |   -208   |   -110
 129  | 0017             | FFEF             |     23   |    -17
 130  | FFED             | FFD0             |    -19   |    -48
 131  | FFEE             | FFED             |    -18   |    -19
 132  | 0017             | FF98             |     23   |   -104
 133  | 00AF             | 00E3             |    175   |    227
 134  | FEEA             | 0007             |   -278   |      7
 135  | 0029             | FFFD             |     41   |     -3
 136  | FFD5             | 000E             |    -43   |     14
 137  | FFB6             | 0021             |    -74   |     33
 138  | FFC6             | 000A             |    -58   |     10
 139  | FFDE             | FFC7             |    -34   |    -57
 140  | 0018             | 0020             |     24   |     32
 141  | FFBC             | 0041             |    -68   |     65
 142  | FFEB             | 000A             |    -21   |     10
 143  | FF97             | 001D             |   -105   |     29
 144  | FFA8             | FFEE             |    -88   |    -18
 145  | 002A             | FFAF             |     42   |    -81
 146  | FFE3             | 0031             |    -29   |     49
 147  | FFFC             | 0024             |     -4   |     36
 148  | 0005             | 0015             |      5   |     21
 149  | FFC3             | 0049             |    -61   |     73
 150  | FFC3             | 006B             |    -61   |    107
 151  | FFA8             | FFD2             |    -88   |    -46
 152  | FFA5             | 0067             |    -91   |    103
 153  | FF70             | FFF0             |   -144   |    -16
 154  | FFDB             | FFB1             |    -37   |    -79
 155  | FF84             | FFA7             |   -124   |    -89
 156  | 00A2             | 00BA             |    162   |    186
 157  | FEAE             | FF37             |   -338   |   -201
 158  | 005E             | 0052             |     94   |     82
 159  | FFE6             | FF80             |    -26   |   -128
 160  | FFD0             | 001B             |    -48   |     27
 161  | FFE3             | 0027             |    -29   |     39
 162  | FFFB             | FFC7             |     -5   |    -57
 163  | FF96             | FFF8             |   -106   |     -8
 164  | 0021             | 000E             |     33   |     14
